Price,Mileage,Cylinders,Car_Age,Mileage_per_Year,Brand_Encoded,Condition_Risk,Title_Risk,Body_Risk,Fuel_Risk,Transmission_Risk,Price_Risk,Mileage_Risk,Age_Risk,Risk_Category,Condition_excellent,Condition_fair,Condition_good,Condition_like new,Condition_new,Condition_salvage,Fuel Type_diesel,Fuel Type_electric,Fuel Type_gas,Fuel Type_hybrid,Fuel Type_other,Transmission_automatic,Transmission_manual,Transmission_other,Body Type_bus,Body Type_convertible,Body Type_coupe,Body Type_hatchback,Body Type_minivan,Body Type_offroad,Body Type_other,Body Type_pickup,Body Type_sedan,Body Type_suv,Body Type_truck,Body Type_van,Body Type_wagon,Title Status_clean,Title Status_lien,Title Status_missing,Title Status_parts only,Title Status_rebuilt,Title Status_salvage
1900.0,-0.17834093136933618,0.10030800055308994,-0.2902878449585686,7349.4,-0.08145115549601009,5.0,0,3.0,1,1.0,2,1,1,Very High,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2300.0,-0.22215602192691825,-1.2903745530029764,0.0017890715527364503,5518.315789473684,-0.08129494844366653,5.0,0,0.0,1,1.0,2,1,1,High,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
4200.0,-0.21750071933290852,0.10030800055308994,-0.5093455323420473,8785.083333333334,-0.12866328227422597,5.0,0,3.0,1,1.0,2,1,0,Very High,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
6800.0,-1.0732070818356583,0.10030800055308994,-0.14424938670291604,5.647058823529412,-0.07806416526416196,5.0,0,0.0,1,1.0,1,0,1,Medium,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2700.0,0.08924553675685006,0.10030800055308994,-0.2902878449585686,9545.133333333333,-0.1281563327485381,5.0,0,1.0,1,1.0,2,1,1,High,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3900.0,0.09813367120335381,-1.2903745530029764,-0.3633070740863948,10305.07142857143,-0.13808613573577072,5.0,0,0.0,1,1.0,2,1,1,High,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
2700.0,0.06343419933770705,0.10030800055308994,0.5859429045753465,5185.185185185185,-0.10564009244470514,2.0,0,3.0,1,1.0,2,1,2,High,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
4000.0,0.3884116928113362,0.10030800055308994,0.0017890715527364503,9473.684210526315,-0.07806416526416196,1.0,0,3.0,1,1.0,2,2,1,High,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
3400.0,-0.09905454739910752,-1.2903745530029764,0.0748083006805627,6000.0,-0.10564009244470514,5.0,0,0.0,1,1.0,2,1,1,High,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
25000.0,-0.97324400484317,0.10030800055308994,-1.0934993653646572,3100.0,-0.08694723609827647,5.0,3,1.0,1,1.0,0,0,0,High,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
9500.0,-0.35903654217801084,-1.2903745530029764,-0.8014224488533523,11000.0,-0.13093973648058735,1.0,3,1.0,1,1.0,1,0,0,Medium,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
14500.0,0.20967407140084018,0.10030800055308994,-0.5823647614698736,14363.636363636364,-0.0899657856018973,5.0,0,1.0,1,1.0,0,2,0,High,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
8000.0,-0.952120467767384,0.10030800055308994,0.43990444631969394,600.0,-0.08589119605073788,1.0,0,3.0,2,1.0,1,0,2,High,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
14500.0,0.08780751134822924,0.10030800055308994,0.3668852171918677,5958.333333333333,-0.07440608784427015,5.0,0,3.0,1,1.0,0,1,2,Very High,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
15900.0,-0.09905454739910752,0.10030800055308994,-0.6553839905976998,12000.0,-0.026553679462118535,5.0,0,0.0,1,1.0,0,1,0,Medium,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
4500.0,-0.058432360714903875,0.10030800055308994,-0.2902878449585686,8333.333333333334,-0.1241144944583644,5.0,0,3.0,1,1.0,2,1,1,Very High,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
9800.0,-0.2186381405600662,-1.2903745530029764,-1.020480136236831,21056.2,-0.13093973648058735,5.0,3,3.0,1,1.0,1,1,0,Very High,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1300.0,0.5102782528639471,0.10030800055308994,0.0748083006805627,9750.0,-0.13098555238829176,5.0,0,1.0,1,1.0,2,2,1,Very High,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
