Price,Mileage,Cylinders,Car_Age,Mileage_per_Year,Brand_Encoded,Condition_Risk,Title_Risk,Body_Risk,Fuel_Risk,Transmission_Risk,Price_Risk,Mileage_Risk,Age_Risk,Total_Risk,Risk_Category,Fuel Type_diesel,Fuel Type_electric,Fuel Type_gas,Fuel Type_hybrid,Fuel Type_other,Transmission_automatic,Transmission_manual,Body Type_bus,Body Type_convertible,Body Type_coupe,Body Type_hatchback,Body Type_minivan,Body Type_offroad,Body Type_other,Body Type_pickup,Body Type_sedan,Body Type_suv,Body Type_truck,Body Type_van,Body Type_wagon,Condition_excellent,Condition_fair,Condition_good,Condition_like new,Condition_new,Condition_salvage,Title Status_clean,Title Status_lien,Title Status_missing,Title Status_parts only,Title Status_rebuilt,Title Status_salvage
10500.0,1.412683473666444,1.463080635392176,-0.27820233682838397,14066.666666666666,0.3045301097317832,1,0.0,2.0,1.0,1,1,2,1,9.0,Medium,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
15200.0,0.09742435534629562,0.15765040644605063,-0.7877833975772373,14777.777777777777,0.3045301097317832,1,0.0,,1.0,1,0,1,0,,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
15500.0,-1.7237036546354483,0.15765040644605063,4.562817740285722,347.22222222222223,0.4980530009985823,1,0.0,0.0,1.0,1,0,0,2,5.0,Low,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
6600.0,-0.2769186244832851,-1.1477798225000746,-0.27820233682838397,7386.666666666667,-0.698121841959462,2,0.0,,1.0,1,1,1,1,,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
4000.0,0.8899522856161286,0.15765040644605063,0.06151837033751825,9473.684210526315,0.6800426329312276,2,0.0,2.0,1.0,1,2,2,1,11.0,High,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
3400.0,-0.12178549770706244,-1.1477798225000746,0.1464485471289938,6000.0,-0.12119196770450724,1,0.0,0.0,1.0,1,2,1,2,8.0,Medium,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
9500.0,-0.6613789821460977,-1.1477798225000746,-0.8727135743687128,11000.0,-1.0935690106912732,2,2.0,,1.0,1,1,0,0,,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
9800.0,-0.3699816382526299,-1.1477798225000746,-1.1275041047431393,21056.2,-1.0935690106912732,1,2.0,2.0,1.0,1,1,1,0,9.0,Medium,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
1500.0,1.3958211772777243,0.15765040644605063,-0.023411806453957296,11666.666666666666,-1.0935690106912732,4,0.0,0.0,1.0,1,2,2,1,11.0,High,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
6495.0,-0.12178549770706244,-1.1477798225000746,-0.7028532207857617,12000.0,-0.667502768422169,1,0.0,,1.0,1,1,1,0,,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
8500.0,0.7887785072838095,1.463080635392176,-0.023411806453957296,9666.666666666666,-0.07444571816567239,2,0.0,2.0,1.0,1,1,2,1,10.0,Medium,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
19500.0,-0.008875561088194326,0.15765040644605063,-0.5329928672028106,10558.0,2.3721539971701184,2,0.0,2.0,2.0,1,0,1,0,8.0,Medium,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
4750.0,0.21546043006733456,0.15765040644605063,-0.5329928672028106,11666.666666666666,-0.7688036012853222,1,2.0,,1.0,1,2,1,0,,,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
6350.0,-0.07984896658831618,-1.1477798225000746,-0.7877833975772373,13609.666666666666,-1.0935690106912732,3,0.0,0.0,1.0,1,1,1,0,7.0,Medium,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
7000.0,-0.10660943095721458,1.463080635392176,0.3163089007119449,5495.454545454545,-0.12119196770450724,3,0.0,3.0,1.0,1,1,1,2,12.0,High,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
7000.0,0.33349650478837356,0.15765040644605063,0.06151837033751825,7736.8421052631575,-0.12119196770450724,4,0.0,,1.0,1,1,1,1,,,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
15000.0,-0.4927560182588992,-1.1477798225000746,-0.8727135743687128,12250.0,0.11441948403775018,1,2.0,1.0,1.0,2,0,0,0,7.0,Medium,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
26850.0,-1.5888052835256896,1.463080635392176,-1.1275041047431393,6600.0,0.3045301097317832,1,0.0,1.0,1.0,1,0,0,0,4.0,Low,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
11995.0,-2.1440638413098454,0.15765040644605063,-0.6179230439942861,6.454545454545454,0.5190223597555003,1,0.0,0.0,1.0,1,0,0,0,3.0,Low,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
